2021-07-11-18-25-56: File is closed
2021-07-11-18-26-44: File is opened
2021-07-11-18-26-44: File is closed
2021-07-11-18-34-44: File is opened
2021-07-11-18-36-04: File is opened
2021-07-11-18-36-38: File is opened
2021-07-11-18-50-33: File is opened
2021-07-11-18-51-03: File is closed, 1 times
2021-07-11-18-51-15: File is opened, 1 times
2021-07-11-18-51-15: File is closed, 1 times
2021-07-11-19-03-25: File is opened, 1 times
2021-07-11-19-03-25: File is closed, 1 times
2021-07-14-00-09-24: File is opened, 1 times
2021-07-14-00-09-24: File is closed, 1 times
2021-07-14-00-10-15: File is opened, 1 times
2021-07-14-00-10-15: File is closed, 1 times
2021-07-14-00-10-18: File is opened, 1 times
2021-07-14-00-10-18: File is closed, 1 times
2021-07-14-00-10-18: File is opened, 1 times
2021-07-14-00-10-18: File is closed, 1 times
2021-07-14-13-02-50: File is opened, 1 times
2021-07-14-13-02-50: File is closed, 1 times
2021-07-14-13-02-50: File is opened, 2 times
2021-07-14-13-02-50: File is closed, 2 times
2021-07-14-13-02-50: File is opened, 3 times
2021-07-14-13-02-50: File is closed, 3 times
